Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ITSupporter01-02-03-04,Chrome 73.0.3683.86,,2019-04-03 16:20:18,2019-04-03 16:22:19,2m - 1.255s,FAILED
,,,,,,
Test Cases/ITSupporter/ITSupporter-01,Chrome 73.0.3683.86,,2019-04-03 16:20:18,2019-04-03 16:21:17,58.783s,FAILED
"openBrowser("""")",Chrome 73.0.3683.86,,2019-04-03 16:20:18,2019-04-03 16:20:23,4.260s,PASSED
navigateToUrl(url),Chrome 73.0.3683.86,,2019-04-03 16:20:23,2019-04-03 16:20:25,1.823s,PASSED
"setText(findTestObject(""Object Repository/ITSupporter/ITSupporter-01/Page_ODTS System/input_ODTS_username""), ""admin01"")",Chrome 73.0.3683.86,,2019-04-03 16:20:25,2019-04-03 16:20:25,0.248s,PASSED
"setEncryptedText(findTestObject(""Object Repository/ITSupporter/ITSupporter-01/Page_ODTS System/input_ODTS_password""), ""aeHFOx8jV/A="")",Chrome 73.0.3683.86,,2019-04-03 16:20:25,2019-04-03 16:20:25,0.293s,PASSED
"click(findTestObject(""Object Repository/ITSupporter/ITSupporter-01/Page_ODTS System/button_ng Nhp""))",Chrome 73.0.3683.86,,2019-04-03 16:20:25,2019-04-03 16:20:25,0.121s,PASSED
"click(findTestObject(""Object Repository/ITSupporter/ITSupporter-01/Page_ODTS System/a_Nhn Vin K Thut""))",Chrome 73.0.3683.86,,2019-04-03 16:20:25,2019-04-03 16:20:27,1.745s,PASSED
waitForAlert(1),Chrome 73.0.3683.86,,2019-04-03 16:20:27,2019-04-03 16:20:28,1.261s,PASSED
"click(findTestObject(""Object Repository/ITSupporter/ITSupporter-01/Page_ODTS System/button_To Nhn Vin""))",Chrome 73.0.3683.86,,2019-04-03 16:20:28,2019-04-03 16:20:28,0.278s,PASSED
waitForAlert(1),Chrome 73.0.3683.86,,2019-04-03 16:20:28,2019-04-03 16:20:30,1.029s,PASSED
"setText(findTestObject(""Object Repository/ITSupporter/ITSupporter-01/Page_ODTS System/input_Tn ng Nhp_userNameC""), ""anhtest"")",Chrome 73.0.3683.86,,2019-04-03 16:20:30,2019-04-03 16:20:30,0.495s,PASSED
waitForAlert(1),Chrome 73.0.3683.86,,2019-04-03 16:20:30,2019-04-03 16:20:31,1.058s,PASSED
"setEncryptedText(findTestObject(""Object Repository/ITSupporter/ITSupporter-01/Page_ODTS System/input_Mt Khu_passC""), ""aeHFOx8jV/A="")",Chrome 73.0.3683.86,,2019-04-03 16:20:31,2019-04-03 16:20:31,0.225s,PASSED
waitForAlert(1),Chrome 73.0.3683.86,,2019-04-03 16:20:31,2019-04-03 16:20:32,1.023s,PASSED
"setText(findTestObject(""Object Repository/ITSupporter/ITSupporter-01/Page_ODTS System/input_H V Tn_nameC""), ""nva"")",Chrome 73.0.3683.86,,2019-04-03 16:20:32,2019-04-03 16:20:33,0.184s,PASSED
waitForAlert(1),Chrome 73.0.3683.86,,2019-04-03 16:20:33,2019-04-03 16:20:34,1.021s,PASSED
"setText(findTestObject(""Object Repository/ITSupporter/ITSupporter-01/Page_ODTS System/input_S in Thoi_phoneC""), ""1234567890"")",Chrome 73.0.3683.86,,2019-04-03 16:20:34,2019-04-03 16:20:34,0.231s,PASSED
waitForAlert(1),Chrome 73.0.3683.86,,2019-04-03 16:20:34,2019-04-03 16:20:35,1.020s,PASSED
"setText(findTestObject(""Object Repository/ITSupporter/ITSupporter-01/Page_ODTS System/input_Email_emailC""), ""anh.nguyen@wisky.vn"")",Chrome 73.0.3683.86,,2019-04-03 16:20:35,2019-04-03 16:20:35,0.298s,PASSED
waitForAlert(1),Chrome 73.0.3683.86,,2019-04-03 16:20:35,2019-04-03 16:20:36,1.016s,PASSED
"setText(findTestObject(""Object Repository/ITSupporter/ITSupporter-01/Page_ODTS System/input_a Ch Thng Tr_addressC""), ""Q12"")",Chrome 73.0.3683.86,,2019-04-03 16:20:36,2019-04-03 16:20:36,0.203s,PASSED
waitForAlert(1),Chrome 73.0.3683.86,,2019-04-03 16:20:36,2019-04-03 16:20:37,1.047s,PASSED
CDATE = SimpleDateFormat(HH:mm dd/MM/yyyy).format(getInstance().getTime()),Chrome 73.0.3683.86,,2019-04-03 16:20:37,2019-04-03 16:20:37,0.044s,PASSED
writer = null,Chrome 73.0.3683.86,,2019-04-03 16:20:37,2019-04-03 16:20:37,0.004s,PASSED
writer2 = null,Chrome 73.0.3683.86,,2019-04-03 16:20:37,2019-04-03 16:20:37,0.001s,PASSED
"fileNameCre = ""creDateITSupporter.txt""",Chrome 73.0.3683.86,,2019-04-03 16:20:37,2019-04-03 16:20:37,0.001s,PASSED
"fileNameUp = ""upDateITSupporter.txt""",Chrome 73.0.3683.86,,2019-04-03 16:20:37,2019-04-03 16:20:37,0.001s,PASSED
"workingDirectory = System.getProperty(""user.dir"")",Chrome 73.0.3683.86,,2019-04-03 16:20:37,2019-04-03 16:20:37,0.015s,PASSED
absoluteFilePathCre = workingDirectory + separator + fileNameCre,Chrome 73.0.3683.86,,2019-04-03 16:20:37,2019-04-03 16:20:37,0.013s,PASSED
absoluteFilePathUp = workingDirectory + separator + fileNameUp,Chrome 73.0.3683.86,,2019-04-03 16:20:37,2019-04-03 16:20:37,0.003s,PASSED
try,Chrome 73.0.3683.86,,2019-04-03 16:20:37,2019-04-03 16:20:37,0.040s,PASSED
Finally,Chrome 73.0.3683.86,,2019-04-03 16:20:37,2019-04-03 16:20:38,0.038s,PASSED
"click(findTestObject(""Object Repository/ITSupporter/ITSupporter-01/Page_ODTS System/button_To Mi""))",Chrome 73.0.3683.86,,2019-04-03 16:20:38,2019-04-03 16:20:38,0.147s,PASSED
waitForAlert(1),Chrome 73.0.3683.86,,2019-04-03 16:20:38,2019-04-03 16:20:39,1.340s,PASSED
"click(findTestObject(""Object Repository/ITSupporter/ITSupporter-01/Page_ODTS System/button_OK""))",Chrome 73.0.3683.86,,2019-04-03 16:20:39,2019-04-03 16:21:11,31.566s,FAILED
waitForAlert(1),Chrome 73.0.3683.86,,2019-04-03 16:21:11,2019-04-03 16:21:12,1.023s,PASSED
"click(findTestObject(""Object Repository/ITSupporter/ITSupporter-01/Page_ODTS System/fieldSearch""))",Chrome 73.0.3683.86,,2019-04-03 16:21:12,2019-04-03 16:21:12,0.146s,PASSED
"setText(findTestObject(""Object Repository/ITSupporter/ITSupporter-01/Page_ODTS System/input""), ""nva anhtest"")",Chrome 73.0.3683.86,,2019-04-03 16:21:12,2019-04-03 16:21:12,0.333s,PASSED
"verifyElementText(findTestObject(""Object Repository/ITSupporter/ITSupporter-01/Page_ODTS System/td_nva""), ""nva"")",Chrome 73.0.3683.86,,2019-04-03 16:21:12,2019-04-03 16:21:12,0.101s,PASSED
"verifyElementText(findTestObject(""Object Repository/ITSupporter/ITSupporter-01/Page_ODTS System/td_anhtest""), ""anhtest"")",Chrome 73.0.3683.86,,2019-04-03 16:21:12,2019-04-03 16:21:12,0.085s,PASSED
"verifyElementText(findTestObject(""Object Repository/ITSupporter/ITSupporter-01/Page_ODTS System/td_1234567890""), ""1234567890"")",Chrome 73.0.3683.86,,2019-04-03 16:21:12,2019-04-03 16:21:12,0.081s,PASSED
"verifyElementText(findTestObject(""Object Repository/ITSupporter/ITSupporter-01/Page_ODTS System/td_Online""), ""Online"")",Chrome 73.0.3683.86,,2019-04-03 16:21:12,2019-04-03 16:21:12,0.084s,PASSED
waitForAlert(1),Chrome 73.0.3683.86,,2019-04-03 16:21:12,2019-04-03 16:21:13,1.021s,PASSED
"click(findTestObject(""Object Repository/ITSupporter/ITSupporter-01/Page_ODTS System/a_H Thng Ti Khon""))",Chrome 73.0.3683.86,,2019-04-03 16:21:13,2019-04-03 16:21:14,0.488s,PASSED
"click(findTestObject(""Object Repository/ITSupporter/ITSupporter-01/Page_ODTS System/fieldSearch2""))",Chrome 73.0.3683.86,,2019-04-03 16:21:14,2019-04-03 16:21:15,1.189s,PASSED
"setText(findTestObject(""Object Repository/ITSupporter/ITSupporter-01/Page_ODTS System/input2""), ""itsupporter anhtest"")",Chrome 73.0.3683.86,,2019-04-03 16:21:15,2019-04-03 16:21:16,0.553s,PASSED
